PSC	0	KSSm1_L004	2479938	644251	1059399	1027718	675932	0	9.1	0	0	0	93436
PSC	0	KSSf1_L004	2440759	644288	1114879	1061509	697658	0	8.8	0	0	0	77098
PSC	0	KSSm2_L004	2484774	657555	1027286	1017998	666843	0	7.9	0	0	0	107409
PSC	0	KSSf2_L004	2428594	609547	1131595	1053110	688032	0	7.9	0	0	0	107288
PSC	0	KSSm3_L004	2457217	616361	1071636	1019842	668155	0	6.7	0	0	0	131810
PSC	0	KSSf3_L004	2462238	618071	1049706	1008092	659685	0	5.8	0	0	0	147009
PSC	0	KSSm4_L004	2449416	623814	1091770	1035055	680529	0	7.5	0	0	0	112024
PSC	0	KSSf4_L004	2445717	644240	1084598	1044415	684423	0	7.7	0	0	0	102469
PSC	0	KSSm5_L004	2473815	641028	1058313	1025840	673501	0	8.5	0	0	0	103868
PSC	0	KSSf5_L004	2428899	606809	1080555	1019986	667378	0	6.3	0	0	0	160761
PSC	0	KSSm6_L004	2461656	636993	1034041	1009418	661616	0	6.8	0	0	0	144334
PSC	0	KSSf6_L004	2434681	588867	1084997	1011423	662441	0	6.1	0	0	0	168479
PSC	0	KSSm7_L004	2550453	660344	935121	963718	631747	0	7.4	0	0	0	131106
PSC	0	KSSfT1_L004	2459551	624075	959582	959541	624116	0	4.8	0	0	0	233816
PSC	0	KSSm8_L004	2486046	622886	1027944	997847	652983	0	7.2	0	0	0	140148
PSC	0	KSSf8_L004	2455185	604729	1082027	1020140	666616	0	6.4	0	0	0	135083
PSC	0	KSSm9_L004	2453619	630970	1039098	1009933	660135	0	6.9	0	0	0	153337
PSC	0	KSSfT2_L004	2438402	597386	1016935	976838	637483	0	4.9	0	0	0	224301
PSC	0	KSSm10_L004	2506446	658732	993803	998464	654071	0	7.6	0	0	0	118043
PSC	0	KSSf10_L004	2406346	608314	1135071	1053279	690106	0	6.6	0	0	0	127293
PSC	0	KSSm11_L004	2456695	624647	1055930	1015613	664964	0	6.1	0	0	0	139752
PSC	0	KSSfT3_L004	2493703	652105	971307	982231	641181	0	6.2	0	0	0	159909
PSC	0	KSSm12_L004	2490121	643481	1005793	996506	652768	0	6.3	0	0	0	137629
PSC	0	KSSf12_L004	2450844	615973	1115534	1046408	685099	0	7.5	0	0	0	94673
PSC	0	KSSB1	2471004	649020	1014864	1006136	657748	0	6.9	0	0	0	142136
PSC	0	KSSB3	2456580	628959	1075684	1029716	674927	0	6.9	0	0	0	115801
PSC	0	KSSB5	2432588	608999	1121359	1045683	684675	0	6.9	0	0	0	114078
PSC	0	KSSB2	2508323	711791	965245	1011919	665117	0	10.4	0	0	0	91665
PSC	0	KSSB4	2459645	640242	1099748	1050609	689381	0	9.2	0	0	0	77389
PSC	0	KSSB6	2409835	626758	1169217	1083270	712705	0	9.8	0	0	0	71214
PSC	0	01C01	2667294	886837	563777	876220	574394	0	7.7	0	0	0	159116
PSC	0	09H02	2657304	874028	590276	884352	579952	0	7.7	0	0	0	155416
PSC	0	18C01	2718908	890720	548748	867752	571716	0	10.6	0	0	0	118648
PSC	0	27C02	2680731	926366	491526	856614	561278	0	7.1	0	0	0	178401
