ID,Generation,Productivity,Eclosion,Isoline,Treatment,Rescuer,Rescue
27,2,885,20,Iso 15,C,None,C
28,2,603,20,Iso 23,I,Iso 20,L
29,2,643,20,Iso 8,I,Iso 12,H
30,2,926,20,Iso 8,I,Iso 13,L
31,2,771,20,Iso 15,I,Iso 14,H
32,2,567,20,Iso 16,O,KSS,O
33,2,801,20,Iso 12,I,Iso 13,L
34,2,800,20,Iso 8,C,None,C
35,2,570,19,Iso 21,I,Iso 12,H
36,2,691,20,Iso 23,O,KSS,O
37,2,578,20,Iso 13,O,KSS,O
38,2,731,20,Iso 5,I,Iso 21,L
39,2,568,18,Iso 23,C,None,C
40,2,702,20,Iso 14,I,Iso 21,L
41,2,814,19,Iso 14,I,Iso 12,H
42,2,603,18,Iso 16,I,Iso 20,L
43,2,657,18,Iso 3,I,Iso 12,H
44,2,613,16,Iso 20,O,KSS,O
45,2,734,20,Iso 16,I,Iso 14,H
46,2,827,18,Iso 12,C,None,C
47,2,936,20,Iso 15,O,KSS,O
48,2,687,20,Iso 14,C,None,C
1,3,497,20,Iso 21,C,None,C
2,3,705,20,Iso 1,I,Iso 23,H
3,3,701,19,Iso 21,O,KSS,O
4,3,921,20,Iso 12,O,KSS,O
5,3,820,20,Iso 1,O,KSS,O
6,3,797,20,Iso 8,O,KSS,O
7,3,890,20,Iso 15,I,Iso 20,L
8,3,569,20,Iso 13,I,Iso 23,H
9,3,782,20,Iso 5,I,Iso 23,H
10,3,786,20,Iso 3,O,KSS,O
11,3,750,20,Iso 23,I,Iso 14,H
12,3,720,20,Iso 1,I,Iso 21,L
13,3,690,20,Iso 5,O,KSS,O
14,3,776,20,Iso 14,O,KSS,O
15,3,522,20,Iso 13,C,None,C
16,3,684,16,Iso 1,C,None,C
17,3,705,17,Iso 21,I,Iso 20,L
18,3,661,20,Iso 3,C,None,C
19,3,729,19,Iso 3,I,Iso 13,L
20,3,535,20,Iso 20,I,Iso 13,L
21,3,678,20,Iso 20,I,Iso 14,H
22,3,522,20,Iso 13,I,Iso 21,L
23,3,635,18,Iso 5,C,None,C
24,3,638,20,Iso 20,C,None,C
25,3,794,20,Iso 12,I,Iso 23,H
26,3,514,20,Iso 16,C,None,C
27,3,765,20,Iso 15,C,None,C
28,3,644,20,Iso 23,I,Iso 20,L
29,3,665,20,Iso 8,I,Iso 12,H
30,3,740,19,Iso 8,I,Iso 13,L
31,3,693,20,Iso 15,I,Iso 14,H
32,3,580,19,Iso 16,O,KSS,O
33,3,662,20,Iso 12,I,Iso 13,L
34,3,840,19,Iso 8,C,None,C
35,3,747,20,Iso 21,I,Iso 12,H
36,3,856,20,Iso 23,O,KSS,O
37,3,745,20,Iso 13,O,KSS,O
38,3,709,20,Iso 5,I,Iso 21,L
39,3,581,18,Iso 23,C,None,C
40,3,725,20,Iso 14,I,Iso 21,L
41,3,908,20,Iso 14,I,Iso 12,H
42,3,551,19,Iso 16,I,Iso 20,L
43,3,889,17,Iso 3,I,Iso 12,H
44,3,604,20,Iso 20,O,KSS,O
45,3,637,18,Iso 16,I,Iso 14,H
46,3,858,19,Iso 12,C,None,C
47,3,1105,20,Iso 15,O,KSS,O
48,3,936,20,Iso 14,C,None,C
1,4,433,19,Iso 21,C,None,C
2,4,746,20,Iso 1,I,Iso 23,H
3,4,719,20,Iso 21,O,KSS,O
4,4,1100,20,Iso 12,O,KSS,O
5,4,744,20,Iso 1,O,KSS,O
6,4,771,20,Iso 8,O,KSS,O
7,4,687,20,Iso 15,I,Iso 20,L
8,4,633,20,Iso 13,I,Iso 23,H
9,4,904,20,Iso 5,I,Iso 23,H
10,4,851,20,Iso 3,O,KSS,O
11,4,704,20,Iso 23,I,Iso 14,H
12,4,637,20,Iso 1,I,Iso 21,L
13,4,757,18,Iso 5,O,KSS,O
14,4,732,20,Iso 14,O,KSS,O
15,4,469,19,Iso 13,C,None,C
16,4,606,20,Iso 1,C,None,C
17,4,592,20,Iso 21,I,Iso 20,L
18,4,645,20,Iso 3,C,None,C
19,4,447,20,Iso 3,I,Iso 13,L
20,4,438,19,Iso 20,I,Iso 13,L
21,4,696,20,Iso 20,I,Iso 14,H
22,4,462,20,Iso 13,I,Iso 21,L
23,4,641,20,Iso 5,C,None,C
24,4,573,20,Iso 20,C,None,C
25,4,712,20,Iso 12,I,Iso 23,H
26,4,677,20,Iso 16,C,None,C
27,4,862,19,Iso 15,C,None,C
28,4,739,20,Iso 23,I,Iso 20,L
29,4,779,20,Iso 8,I,Iso 12,H
30,4,826,19,Iso 8,I,Iso 13,L
31,4,826,20,Iso 15,I,Iso 14,H
32,4,636,19,Iso 16,O,KSS,O
33,4,757,20,Iso 12,I,Iso 13,L
34,4,750,20,Iso 8,C,None,C
35,4,693,20,Iso 21,I,Iso 12,H
36,4,858,19,Iso 23,O,KSS,O
37,4,554,18,Iso 13,O,KSS,O
38,4,687,20,Iso 5,I,Iso 21,L
39,4,626,17,Iso 23,C,None,C
40,4,611,20,Iso 14,I,Iso 21,L
41,4,821,20,Iso 14,I,Iso 12,H
42,4,584,29,Iso 16,I,Iso 20,L
43,4,736,20,Iso 3,I,Iso 12,H
44,4,735,19,Iso 20,O,KSS,O
45,4,535,18,Iso 16,I,Iso 14,H
46,4,849,20,Iso 12,C,None,C
47,4,1001,20,Iso 15,O,KSS,O
48,4,722,20,Iso 14,C,None,C
1,5,547,20,Iso 21,C,None,C
2,5,786,20,Iso 1,I,Iso 23,H
3,5,722,20,Iso 21,O,KSS,O
4,5,924,20,Iso 12,O,KSS,O
5,5,692,20,Iso 1,O,KSS,O
6,5,699,20,Iso 8,O,KSS,O
7,5,847,20,Iso 15,I,Iso 20,L
8,5,604,20,Iso 13,I,Iso 23,H
9,5,818,20,Iso 5,I,Iso 23,H
10,5,855,20,Iso 3,O,KSS,O
11,5,525,20,Iso 23,I,Iso 14,H
12,5,594,20,Iso 1,I,Iso 21,L
13,5,673,20,Iso 5,O,KSS,O
14,5,758,20,Iso 14,O,KSS,O
15,5,617,20,Iso 13,C,None,C
16,5,669,18,Iso 1,C,None,C
17,5,493,20,Iso 21,I,Iso 20,L
18,5,612,20,Iso 3,C,None,C
19,5,582,20,Iso 3,I,Iso 13,L
20,5,424,20,Iso 20,I,Iso 13,L
21,5,553,20,Iso 20,I,Iso 14,H
22,5,554,20,Iso 13,I,Iso 21,L
23,5,631,20,Iso 5,C,None,C
24,5,573,20,Iso 20,C,None,C
